modelo;periodo;MPA_ATUAL;PARAM_ATUAL
log_holts_hill_climb_12m;12;0.1296534438991966;10001001101011001100111101110
log_holts_hill_climb_1m;1;6.649364587760767e-06;10110011111011110010011101100
log_holts_hill_climb_6m;6;0.1065937820304481;10010001011111100110111101110
log_holts_simulated_annealing_12m;12;0.1296527507988703;10001010001011000100000110001
log_holts_simulated_annealing_1m;1;7.122170300158357e-06;00111110111101011000011101010
log_holts_simulated_annealing_6m;6;0.1065967054653865;10010001011111011110000100101
log_sarimax_hill_climb_12m;12;0.0991086573883021;11111000010000111110001100
log_sarimax_hill_climb_1m;1;0.0006154564176962;01010001101000001111000011
log_sarimax_hill_climb_6m;6;0.0280535949211937;11110010000101000001110110
log_sarimax_simulated_annealing_12m;12;0.0968351098845842;10100000000000010000100111
log_sarimax_simulated_annealing_1m;1;0.0005732292297725;10011100101001111110000110
log_sarimax_simulated_annealing_6m;6;0.0324873053180886;01111010011101101001000110
